Sharma Enterprises Private Limited
Purchase Register for the period 2026-03
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Metro Motors,27AAACM6543N1Z3,S09/2026/061,13/03/2026,883000,79470,79470,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/061,20/03/2026,268000,0,0,48240,0,Invoice,Yes,
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/062,12/03/2026,258000,0,0,46440,0,Invoice,Yes,
Sahyadri Logistics,27AAHFS1129D1ZH,S11/2026/061,15/03/2026,81000,7290,7290,0,0,Invoice,Yes,
Sahyadri Logistics,27AAHFS1129D1ZH,S11/2026/062,13/03/2026,76000,6840,6840,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/061,06/03/2026,158000,14220,14220,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/062,04/03/2026,"1,57,000","14,130","14,130",0,0,Invoice,Yes,
Konkan Hardware,27AAGFK5561R1ZL,S13/2026/061,07/03/2026,63000,5670,5670,0,0,Invoice,Yes,
Trident Paper Mills,24AAACT3398E1ZE,S14/2026/061,17/03/2026,128000,0,0,23040,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/061,06/03/2026,33000,0,0,5940,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/062,06/03/2026,41000,0,0,7380,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/063,05/03/2026,41000,0,0,7380,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/061,08/03/2026,70000,0,0,12600,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/062,25/03/2026,"52,000",0,0,"9,360",0,Invoice,Yes,
Ganga Textiles,09AAHFG4423Y1ZH,S17/2026/061,23/03/2026,44000,0,0,7920,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/061,11/03/2026,146000,13140,13140,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/062,17/03/2026,131000,11790,11790,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/063,10/03/2026,126000,11340,11340,0,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/061,10/03/2026,91000,0,0,16380,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/062,16/03/2026,93000,0,0,16740,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/061,14/03/2026,"1,23,000","11,070","11,070",0,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/062,23/03/2026,116000,10440,10440,0,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/061,08/03/2026,159000,0,0,28620,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/062,16/03/2026,164000,0,0,29520,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/063,13/03/2026,158000,0,0,28440,0,Invoice,Yes,
Meridian Housekeeping,27AAGFM1167A1ZO,S22/2026/061,23/03/2026,182000,16380,16380,0,0,Invoice,Yes,
Coral Adhesives,24AAECC7789B1ZM,S23/2026/061,26/03/2026,155000,0,0,27900,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/061,15/03/2026,"1,28,000",0,0,"23,040",0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/062,14/03/2026,125000,0,0,22500,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/063,23/03/2026,122000,0,0,21960,0,Invoice,Yes,
Zenith Tooling,27AABCZ9934D1Z1,S25/2026/061,26/03/2026,35000,3150,3150,0,0,Invoice,Yes,
Grand Total,,,,8782000,396000,396000,788760,0,,,
