Sharma Enterprises Private Limited
Purchase Register for the period 2026-04
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/072,24/04/2026,"1,86,000",0,0,"33,480",0,Invoice,Yes,
Metro Motors,27AAACM6543N1Z3,S09/2026/071,03/04/2026,898000,80820,80820,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/071,24/04/2026,272000,0,0,48960,0,Invoice,Yes,
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/072,08/04/2026,258000,0,0,46440,0,Invoice,Yes,
Sahyadri Logistics,27AAHFS1129D1ZH,S11/2026/071,26/04/2026,81000,7290,7290,0,0,Invoice,Yes,
Sahyadri Logistics,27AAHFS1129D1ZH,S11/2026/072,06/04/2026,80000,7200,7200,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/071,16/04/2026,167000,15030,15030,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/072,14/04/2026,"1,50,000","13,500","13,500",0,0,Invoice,Yes,
Konkan Hardware,27AAGFK5561R1ZL,S13/2026/071,04/04/2026,63000,5670,5670,0,0,Invoice,Yes,
Trident Paper Mills,24AAACT3398E1ZE,S14/2026/071,10/04/2026,133000,0,0,23940,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/071,11/04/2026,27000,0,0,4860,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/072,21/04/2026,41000,0,0,7380,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/073,16/04/2026,48000,0,0,8640,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/071,20/04/2026,65000,0,0,11700,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/072,05/04/2026,"48,000",0,0,"8,640",0,Invoice,Yes,
Ganga Textiles,09AAHFG4423Y1ZH,S17/2026/071,04/04/2026,57000,0,0,10260,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/071,13/04/2026,139000,12510,12510,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/072,08/04/2026,141000,12690,12690,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/073,14/04/2026,140000,12600,12600,0,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/071,16/04/2026,100000,0,0,18000,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/072,18/04/2026,78000,0,0,14040,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/071,23/04/2026,"1,27,000","11,430","11,430",0,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/072,10/04/2026,125000,11250,11250,0,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/071,22/04/2026,173000,0,0,31140,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/072,06/04/2026,159000,0,0,28620,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/073,18/04/2026,173000,0,0,31140,0,Invoice,Yes,
Meridian Housekeeping,27AAGFM1167A1ZO,S22/2026/071,10/04/2026,178000,16020,16020,0,0,Invoice,Yes,
Coral Adhesives,24AAECC7789B1ZM,S23/2026/071,21/04/2026,158000,0,0,28440,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/071,08/04/2026,"1,24,000",0,0,"22,320",0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/072,20/04/2026,130000,0,0,23400,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/073,10/04/2026,121000,0,0,21780,0,Invoice,Yes,
Zenith Tooling,27AABCZ9934D1Z1,S25/2026/071,21/04/2026,34000,3060,3060,0,0,Invoice,Yes,
Grand Total,,,,8864000,401940,401940,791640,0,,,
