Sharma Enterprises Private Limited
Purchase Register for the period 2026-01
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Konkan Hardware,27AAGFK5561R1ZL,S13/2026/041,18/01/2026,73000,6570,6570,0,0,Invoice,Yes,
Trident Paper Mills,24AAACT3398E1ZE,S14/2026/041,24/01/2026,"1,27,000",0,0,"22,860",0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/041,12/01/2026,43000,0,0,7740,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/042,25/01/2026,37000,0,0,6660,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/043,17/01/2026,40000,0,0,7200,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/041,21/01/2026,69000,0,0,12420,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/042,04/01/2026,65000,0,0,11700,0,Invoice,Yes,
Ganga Textiles,09AAHFG4423Y1ZH,S17/2026/041,11/01/2026,50000,0,0,9000,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/041,12/01/2026,"1,36,000","12,240","12,240",0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/042,21/01/2026,144000,12960,12960,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/043,09/01/2026,145000,13050,13050,0,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/041,04/01/2026,94000,0,0,16920,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/042,04/01/2026,86000,0,0,15480,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/041,15/01/2026,128000,11520,11520,0,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/042,04/01/2026,124000,11160,11160,0,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/041,17/01/2026,"1,63,000",0,0,"29,340",0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/042,18/01/2026,156000,0,0,28080,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/043,20/01/2026,158000,0,0,28440,0,Invoice,Yes,
Meridian Housekeeping,27AAGFM1167A1ZO,S22/2026/041,03/01/2026,186000,16740,16740,0,0,Invoice,Yes,
Coral Adhesives,24AAECC7789B1ZM,S23/2026/041,04/01/2026,153000,0,0,27540,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/041,22/01/2026,144000,0,0,25920,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/042,09/01/2026,124000,0,0,22320,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/043,09/01/2026,"1,44,000",0,0,"25,920",0,Invoice,Yes,
Zenith Tooling,27AABCZ9934D1Z1,S25/2026/041,15/01/2026,48000,4320,4320,0,0,Invoice,Yes,
Grand Total,,,,8712000,388800,388800,790560,0,,,
